,algorithm,seed,feature,information_gain
0,base,123,Open,141457381.3503517
1,base,123,Promo,3095847.0779742487
2,base,123,DayOfWeek_6,2801788.9384399992
3,base,123,month,855827.8653217602
4,base,123,year,409636.070618
5,base,123,DayOfWeek_1,931826.192211862
6,base,123,DayOfWeek_3,590954.935649453
7,base,123,DayOfWeek_2,487661.5434513793
8,base,123,DayOfWeek_4,445587.89173929446
9,base,123,DayOfWeek_5,398095.02352964785
10,base,123,SchoolHoliday,536001.2712052771
11,base,123,DayOfWeek_7,7032023.521662941
12,base,123,StateHoliday_0,2186469.279326176
13,base,123,StateHoliday_a,7385.7837555999995
0,base,234,Open,137215181.94493565
1,base,234,Promo,3794415.924171675
2,base,234,DayOfWeek_6,3572994.712069297
3,base,234,month,845888.1959875213
4,base,234,DayOfWeek_3,616762.7860275927
5,base,234,DayOfWeek_7,86046267.70496571
6,base,234,StateHoliday_0,30419092.43853
7,base,234,DayOfWeek_1,1248071.234947389
8,base,234,year,377852.517913213
9,base,234,DayOfWeek_5,468299.8307982957
10,base,234,DayOfWeek_2,551478.7257888374
11,base,234,DayOfWeek_4,542144.5170527172
12,base,234,SchoolHoliday,523702.8116651271
13,base,234,StateHoliday_a,893.712564
0,base,456,DayOfWeek_7,54044270.20320562
1,base,456,StateHoliday_0,21181150.24327207
2,base,456,Promo,3801382.2271032496
3,base,456,DayOfWeek_6,4437514.173152759
4,base,456,month,1316099.077882793
5,base,456,Open,134222483.67485464
6,base,456,DayOfWeek_1,1166595.8334981592
7,base,456,DayOfWeek_3,615414.4973380002
8,base,456,DayOfWeek_2,976875.8687536363
9,base,456,year,479575.1525309608
10,base,456,DayOfWeek_5,696181.2331831461
11,base,456,DayOfWeek_4,371867.3459925433
12,base,456,SchoolHoliday,567621.081695453
13,base,456,StateHoliday_a,101250.70859387249
0,base,34,Open,120130735.22474346
1,base,34,Promo,3041062.5771274595
2,base,34,DayOfWeek_6,3850592.836328707
3,base,34,month,941489.7080045713
4,base,34,DayOfWeek_3,393833.33507898654
5,base,34,DayOfWeek_1,910411.459490118
6,base,34,DayOfWeek_2,481786.43515883223
7,base,34,year,397266.5568077685
8,base,34,DayOfWeek_5,464215.3904604446
9,base,34,DayOfWeek_7,14703499.609433759
10,base,34,StateHoliday_0,7119766.165951116
11,base,34,SchoolHoliday,519351.5815309528
12,base,34,DayOfWeek_4,385398.2069210071
13,base,34,StateHoliday_a,1170.08105
0,base,1334,Open,124856232.34398247
1,base,1334,Promo,2824462.351821643
2,base,1334,DayOfWeek_6,3703698.3059356282
3,base,1334,month,830946.6201356911
4,base,1334,DayOfWeek_1,1062090.723069679
5,base,1334,year,359834.14702591073
6,base,1334,DayOfWeek_3,477034.1097178676
7,base,1334,DayOfWeek_2,477019.32146924076
8,base,1334,DayOfWeek_7,29719706.023796402
9,base,1334,StateHoliday_0,9508733.1811403
10,base,1334,DayOfWeek_4,490818.96489667497
11,base,1334,DayOfWeek_5,377940.6218284154
12,base,1334,SchoolHoliday,435536.559708676
13,base,1334,StateHoliday_a,2112.40649504
0,base,978,Open,197109682.53730687
1,base,978,Promo,4400935.824074036
2,base,978,month,1298143.6916107223
3,base,978,DayOfWeek_6,4799372.93023889
4,base,978,year,602418.3631017642
5,base,978,DayOfWeek_1,1166599.938731519
6,base,978,DayOfWeek_3,735522.9918268045
7,base,978,DayOfWeek_7,42489977.91257282
8,base,978,StateHoliday_0,17054581.92476108
9,base,978,DayOfWeek_2,733080.9252943923
10,base,978,DayOfWeek_4,581688.3643559221
11,base,978,DayOfWeek_5,514091.39842426457
12,base,978,SchoolHoliday,621839.2533814036
13,base,978,StateHoliday_a,110557.51500163265
0,base,1919,Open,198085243.0011491
1,base,1919,Promo,4644910.528369857
2,base,1919,DayOfWeek_6,4033647.010751416
3,base,1919,month,1100649.6542212465
4,base,1919,DayOfWeek_3,619560.9685324469
5,base,1919,DayOfWeek_1,1537748.3073845063
6,base,1919,year,515349.0523421131
7,base,1919,DayOfWeek_5,565608.332729417
8,base,1919,DayOfWeek_4,467333.9065908848
9,base,1919,SchoolHoliday,700554.7554783663
10,base,1919,DayOfWeek_7,10487201.521888753
11,base,1919,StateHoliday_0,2647212.961528571
12,base,1919,DayOfWeek_2,607534.0973461539
13,base,1919,StateHoliday_a,4244.8253715
0,base,98,Open,193397969.97547984
1,base,98,Promo,4273052.198757475
2,base,98,DayOfWeek_6,4808592.227432036
3,base,98,month,1085827.1864075228
4,base,98,DayOfWeek_3,535693.3948264152
5,base,98,DayOfWeek_1,1191796.833121893
6,base,98,DayOfWeek_7,25778609.9547494
7,base,98,StateHoliday_0,13731455.745767506
8,base,98,year,536023.1438456739
9,base,98,DayOfWeek_5,612640.1726895064
10,base,98,DayOfWeek_2,748836.1103004548
11,base,98,DayOfWeek_4,332987.37716626126
12,base,98,SchoolHoliday,602867.2113447847
13,base,98,StateHoliday_a,16010.556732875
0,base,2647,Open,97288606.1073506
1,base,2647,month,558112.5334619192
2,base,2647,Promo,2361454.5014834516
3,base,2647,DayOfWeek_6,3390001.489830268
4,base,2647,DayOfWeek_7,46365766.56020965
5,base,2647,StateHoliday_0,8949911.152440764
6,base,2647,DayOfWeek_3,303737.6234544322
7,base,2647,StateHoliday_a,2998922.0303809093
8,base,2647,DayOfWeek_4,286396.28875169123
9,base,2647,DayOfWeek_1,793735.671846547
10,base,2647,year,278437.71274717705
11,base,2647,DayOfWeek_5,318846.46907250397
12,base,2647,SchoolHoliday,379730.9750320965
13,base,2647,DayOfWeek_2,387144.2407463472
0,base,12,Open,179295893.6824557
1,base,12,Promo,3906024.9507086724
2,base,12,DayOfWeek_6,3854705.982561982
3,base,12,month,1066911.4927515653
4,base,12,DayOfWeek_3,582371.8950219641
5,base,12,DayOfWeek_1,1198964.492447107
6,base,12,year,443856.69193318347
7,base,12,DayOfWeek_7,35354215.24573292
8,base,12,StateHoliday_0,10159020.187922962
9,base,12,DayOfWeek_2,762352.9445424777
10,base,12,DayOfWeek_4,394380.3786217888
11,base,12,DayOfWeek_5,467715.0651602298
12,base,12,SchoolHoliday,463933.00805466314
13,base,12,StateHoliday_a,2897.4438958
0,base,9,Open,180616526.77037293
1,base,9,Promo,4011236.7226582905
2,base,9,DayOfWeek_6,4387790.534536082
3,base,9,month,1226167.7907155782
4,base,9,DayOfWeek_7,97033152.73582838
5,base,9,StateHoliday_0,24601416.249578185
6,base,9,year,567440.5468356726
7,base,9,DayOfWeek_1,1365399.5810070315
8,base,9,DayOfWeek_3,731654.5516816095
9,base,9,DayOfWeek_2,855719.3476775278
10,base,9,DayOfWeek_5,504784.06087076926
11,base,9,DayOfWeek_4,652367.9598017231
12,base,9,SchoolHoliday,623901.4328300679
13,base,9,StateHoliday_a,7952.920979083334
0,base,455,Open,132180493.06609495
1,base,455,Promo,3016725.5519030634
2,base,455,DayOfWeek_6,3390167.1664103325
3,base,455,month,808272.2934645022
4,base,455,DayOfWeek_3,480158.23924074636
5,base,455,year,339657.4587517786
6,base,455,DayOfWeek_7,25713532.217538886
7,base,455,StateHoliday_a,2242780.0121520837
8,base,455,DayOfWeek_1,1254928.1113994052
9,base,455,SchoolHoliday,413110.6202663614
10,base,455,StateHoliday_0,5620993.350672221
11,base,455,DayOfWeek_2,501939.99663300026
12,base,455,DayOfWeek_4,508975.01247434324
13,base,455,DayOfWeek_5,333863.36559720006
0,base,23,Open,121700564.94178338
1,base,23,Promo,2490829.0246171085
2,base,23,DayOfWeek_6,2681908.4511153395
3,base,23,month,729003.0564954892
4,base,23,DayOfWeek_7,38447796.70556038
5,base,23,StateHoliday_0,17137863.498370517
6,base,23,DayOfWeek_3,399180.4996060222
7,base,23,DayOfWeek_1,741627.1348078686
8,base,23,DayOfWeek_2,455292.20985136623
9,base,23,DayOfWeek_4,483131.2458985547
10,base,23,year,324456.9287127312
11,base,23,DayOfWeek_5,336077.8756025288
12,base,23,SchoolHoliday,402923.197518466
13,base,23,StateHoliday_a,667828.1942127083
0,base,44,Open,122664992.17674614
1,base,44,Promo,2876254.9309919267
2,base,44,month,809101.6111905636
3,base,44,StateHoliday_0,15793244.470864829
4,base,44,DayOfWeek_1,1207275.9085620097
5,base,44,DayOfWeek_6,3767111.501724546
6,base,44,DayOfWeek_5,815367.601038039
7,base,44,DayOfWeek_2,1905745.729010909
8,base,44,DayOfWeek_7,20562980.1355316
9,base,44,DayOfWeek_3,429155.23112455016
10,base,44,year,336711.42563765595
11,base,44,StateHoliday_a,3372.99152832381
12,base,44,SchoolHoliday,402712.48777215625
13,base,44,DayOfWeek_4,349710.694874191
0,base,665,DayOfWeek_7,69178256.79712069
1,base,665,StateHoliday_0,21145612.322731767
2,base,665,Promo,3193208.650451238
3,base,665,DayOfWeek_6,3258648.426764837
4,base,665,month,897374.8197234219
5,base,665,Open,137331403.34235314
6,base,665,DayOfWeek_1,1103288.4114501998
7,base,665,year,431388.4968012542
8,base,665,DayOfWeek_3,537506.7001847457
9,base,665,DayOfWeek_2,527705.6822228334
10,base,665,DayOfWeek_4,581071.824941518
11,base,665,DayOfWeek_5,405521.724786614
12,base,665,SchoolHoliday,465139.7483701897
13,base,665,StateHoliday_a,2060.932292275
0,tpot,123,13,909312734.6666666
1,tpot,123,14,206718752.0
2,tpot,123,3,23054178.134000003
3,tpot,123,18,4087343.215241573
4,tpot,123,6,3988703.258994958
5,tpot,123,2,126032160.37553276
6,tpot,123,12,14326025.826086957
7,tpot,123,7,6051986.04346875
8,tpot,123,4,2515944.3333333335
9,tpot,123,5,1632148.8125
10,tpot,123,9,2001018.5714285714
11,tpot,123,10,1498089.7395833333
12,tpot,123,11,1525354.2708333333
13,tpot,123,8,1532115.1851851852
14,tpot,123,0,62142.0
0,tpot,234,2,155282500.08984375
1,tpot,234,3,22147777.11698664
2,tpot,234,12,14446805.363636363
3,tpot,234,6,4188265.572435593
4,tpot,234,18,4598497.58620385
5,tpot,234,4,3849164.3333333335
6,tpot,234,7,6439054.285060605
7,tpot,234,10,1105495.8210567187
8,tpot,234,11,1517313.5
9,tpot,234,5,2368911.8568695
10,tpot,234,13,35279297.8719755
11,tpot,234,14,11975753.922682308
12,tpot,234,8,1787844.5654761905
13,tpot,234,9,2409451.4545454546
14,tpot,234,15,587.070984
15,tpot,234,0,155420.75
0,tpot,456,2,167063802.64224482
1,tpot,456,3,20795813.382998474
2,tpot,456,12,13960213.685260868
3,tpot,456,6,4308267.006843848
4,tpot,456,18,3771271.0209289854
5,tpot,456,7,6702434.222742857
6,tpot,456,10,990998.3103805021
7,tpot,456,9,2026845.7142857143
8,tpot,456,13,22801639.840519574
9,tpot,456,14,13817291.864422059
10,tpot,456,5,1390986.2833200148
11,tpot,456,8,1769437.46
12,tpot,456,4,966140.1126119426
13,tpot,456,11,1693233.5384615385
14,tpot,456,0,3.6599134885374998
15,tpot,456,15,326.2299559727273
16,tpot,456,1,181.398438
0,tpot,34,2,129747002.88284567
1,tpot,34,3,19254280.14301695
2,tpot,34,12,12232087.12
3,tpot,34,6,3363912.1375978496
4,tpot,34,18,4368986.588379906
5,tpot,34,4,4312375.013688114
6,tpot,34,13,86209377.76935506
7,tpot,34,14,48728561.8382925
8,tpot,34,5,2940604.359540246
9,tpot,34,7,6992123.1034482755
10,tpot,34,10,1496134.12111576
11,tpot,34,9,1681461.9583333333
12,tpot,34,11,1774426.3076923077
13,tpot,34,8,1744282.7
14,tpot,34,0,218462.5
15,tpot,34,15,109.09072116
0,tpot,1334,2,135942477.5233477
1,tpot,1334,3,19007272.23026761
2,tpot,1334,12,11865202.948068963
3,tpot,1334,6,3454504.761133763
4,tpot,1334,13,41557410.017003134
5,tpot,1334,14,36880179.860272445
6,tpot,1334,18,3392085.3225359246
7,tpot,1334,7,5957007.953947368
8,tpot,1334,5,1294842.9263328137
9,tpot,1334,10,1242584.205778
10,tpot,1334,9,1692296.705631579
11,tpot,1334,4,1467694.7169054444
12,tpot,1334,11,1546119.2647058824
13,tpot,1334,8,1596922.7142857143
14,tpot,1334,15,512333.7748449788
15,tpot,1334,0,53074.25
0,tpot,978,13,122156295.02892159
1,tpot,978,14,112600751.22906674
2,tpot,978,5,1295688.3521381246
3,tpot,978,18,3414773.560812401
4,tpot,978,4,1515895.0836568181
5,tpot,978,12,12165270.520833334
6,tpot,978,3,20645240.06571106
7,tpot,978,6,3777724.0939647094
8,tpot,978,2,115711329.38632865
9,tpot,978,7,6342513.258694445
10,tpot,978,15,3487498.427183996
11,tpot,978,10,1343252.1923431666
12,tpot,978,9,1850210.0
13,tpot,978,8,1586666.7592592593
14,tpot,978,11,1615099.8636363635
15,tpot,978,0,84785.2851003334
0,tpot,1919,13,692500912.8
1,tpot,1919,14,157429820.8
2,tpot,1919,3,23498591.12819298
3,tpot,1919,12,11694952.464857144
4,tpot,1919,6,3996594.15707874
5,tpot,1919,2,126383543.6617988
6,tpot,1919,18,3888766.4739832403
7,tpot,1919,7,6188999.990530303
8,tpot,1919,9,1976854.4615384615
9,tpot,1919,11,1384862.0238095238
10,tpot,1919,10,1552881.857142857
11,tpot,1919,4,2254044.3846153845
12,tpot,1919,8,1567013.1136363635
13,tpot,1919,5,2883976.8571428573
0,tpot,98,2,124805815.88817468
1,tpot,98,3,19288303.258859377
2,tpot,98,18,3118653.255140317
3,tpot,98,6,3196245.7507942575
4,tpot,98,13,77130769.36198351
5,tpot,98,14,42545852.537907705
6,tpot,98,12,11673815.583892856
7,tpot,98,4,1626213.5277380412
8,tpot,98,7,6540173.171428572
9,tpot,98,15,3456977.7548939986
10,tpot,98,5,514287.4792510753
11,tpot,98,10,1112194.170261198
12,tpot,98,9,2002228.4285714286
13,tpot,98,11,1477968.734375
14,tpot,98,8,1884556.0511363635
15,tpot,98,1,420.507538
16,tpot,98,0,405.2389375
0,tpot,2647,13,162180241.0611347
1,tpot,2647,14,121147423.48303708
2,tpot,2647,3,16969559.4766621
3,tpot,2647,12,11751233.342592593
4,tpot,2647,6,3364927.6693652244
5,tpot,2647,2,92352250.39998591
6,tpot,2647,18,3256983.33454034
7,tpot,2647,5,1535414.071577267
8,tpot,2647,7,5586484.487414634
9,tpot,2647,9,1457922.375
10,tpot,2647,10,1493172.8459404411
11,tpot,2647,4,685787.6244934956
12,tpot,2647,11,1296169.4013157894
13,tpot,2647,8,1704804.0833333333
14,tpot,2647,15,453.24649528399993
15,tpot,2647,0,1263.144551
0,tpot,12,13,85432782.83929338
1,tpot,12,14,51887432.7167
2,tpot,12,3,18883890.356453124
3,tpot,12,12,12662506.82312
4,tpot,12,2,137896207.0036687
5,tpot,12,6,4345320.486280488
6,tpot,12,18,4165060.4482642463
7,tpot,12,4,5487584.9
8,tpot,12,7,6389288.798387097
9,tpot,12,10,965218.7637333334
10,tpot,12,11,1470897.05
11,tpot,12,9,1895340.6805555555
12,tpot,12,5,1614072.273078883
13,tpot,12,8,1693677.0326086956
14,tpot,12,0,85102.389648436
15,tpot,12,15,253.0196889
0,tpot,9,2,155812910.19590154
1,tpot,9,3,20411759.19658182
2,tpot,9,12,12630744.020833334
3,tpot,9,6,4188183.845955752
4,tpot,9,18,4735238.417567781
5,tpot,9,4,3908159.0588235296
6,tpot,9,7,6600258.71875
7,tpot,9,5,1593475.9155668423
8,tpot,9,9,1650353.35
9,tpot,9,10,1669475.608695652
10,tpot,9,13,48620389.20553767
11,tpot,9,14,15969189.361111112
12,tpot,9,11,1682675.357142857
13,tpot,9,8,1843261.975
0,tpot,455,2,148993454.56330332
1,tpot,455,18,4116634.5555846547
2,tpot,455,4,1068825.1625446407
3,tpot,455,12,14352503.58985
4,tpot,455,3,22877951.495192308
5,tpot,455,6,2951831.220163479
6,tpot,455,10,1379245.511571311
7,tpot,455,5,3338515.324617617
8,tpot,455,9,1867746.3076923077
9,tpot,455,7,7316318.200533333
10,tpot,455,14,14949527.903270194
11,tpot,455,13,33796230.681864105
12,tpot,455,15,56.134716000000004
13,tpot,455,11,1816573.9483333332
14,tpot,455,8,1731678.25
15,tpot,455,0,69.46588091728572
16,tpot,455,1,3.56436014
0,tpot,23,2,117636187.50163308
1,tpot,23,3,22240005.5877193
2,tpot,23,12,11386070.679407407
3,tpot,23,6,4405941.841853448
4,tpot,23,13,1091566933.3333333
5,tpot,23,14,248152064.0
6,tpot,23,18,4599195.435630953
7,tpot,23,7,6063246.2758
8,tpot,23,5,2886984.7934782607
9,tpot,23,4,4428947.666666667
10,tpot,23,10,1805060.4090909092
11,tpot,23,9,2269737.846153846
12,tpot,23,11,1716618.3636363635
13,tpot,23,8,2092824.7777777778
0,tpot,44,2,134448320.9740385
1,tpot,44,18,4797687.16457697
2,tpot,44,12,14082057.043478262
3,tpot,44,3,20244970.78380328
4,tpot,44,6,3997749.568102564
5,tpot,44,7,6112327.359375
6,tpot,44,13,424612032.0
7,tpot,44,14,96529536.0
8,tpot,44,5,2670595.847222222
9,tpot,44,10,1661087.4347826086
10,tpot,44,9,1443839.9333333333
11,tpot,44,11,1663583.4022222224
12,tpot,44,4,3402258.0
13,tpot,44,8,1646136.1
0,tpot,665,2,134365852.57439134
1,tpot,665,18,4167966.7268926
2,tpot,665,4,1739309.6577801507
3,tpot,665,12,9823444.425548386
4,tpot,665,3,17449561.111538462
5,tpot,665,6,3115688.359704373
6,tpot,665,8,1315533.125
7,tpot,665,7,7181816.2265625
8,tpot,665,5,660730.2784337891
9,tpot,665,11,1185873.3453478261
10,tpot,665,10,933928.0461159665
11,tpot,665,9,1352007.0436999998
12,tpot,665,13,20161390.078106023
13,tpot,665,15,1414670.0661075602
14,tpot,665,14,10598341.630963335
15,tpot,665,0,3.32711601
0,tpot_selection,123,2,141598615.27612147
1,tpot_selection,123,3,15446754.151800504
2,tpot_selection,123,12,13662433.458333334
3,tpot_selection,123,6,4009260.6414865027
4,tpot_selection,123,18,4054823.7131570005
5,tpot_selection,123,5,15465790.837098444
6,tpot_selection,123,14,8764524.15071896
7,tpot_selection,123,1,49212.35335562727
8,tpot_selection,123,0,50598.473015111114
9,tpot_selection,123,13,166003634.09945878
10,tpot_selection,123,10,1473511.1707422268
11,tpot_selection,123,7,6451571.896615385
12,tpot_selection,123,11,1539534.4
13,tpot_selection,123,15,835709.7071622106
14,tpot_selection,123,9,1423418.95
15,tpot_selection,123,8,1759963.357142857
0,tpot_selection,234,2,25825595.279219147
1,tpot_selection,234,3,2940732.966863427
2,tpot_selection,234,12,969959.2946099743
3,tpot_selection,234,6,756542.1126927622
4,tpot_selection,234,18,945490.7596804715
5,tpot_selection,234,7,1105208.8396639077
6,tpot_selection,234,5,1018937.7546406075
7,tpot_selection,234,14,661562.6048773547
8,tpot_selection,234,1,17451.14135344186
9,tpot_selection,234,13,11443902.327263547
10,tpot_selection,234,9,277909.83609239134
11,tpot_selection,234,10,366544.3371092792
12,tpot_selection,234,11,387610.4032176279
13,tpot_selection,234,15,3825.8271465916664
14,tpot_selection,234,8,355622.39155449433
15,tpot_selection,234,0,401.89386
0,tpot_selection,456,2,134959513.16512787
1,tpot_selection,456,3,14967389.17187192
2,tpot_selection,456,12,13108912.421875
3,tpot_selection,456,6,3988859.6550766774
4,tpot_selection,456,18,3737888.742230885
5,tpot_selection,456,5,15852603.355829477
6,tpot_selection,456,14,4451945.005046921
7,tpot_selection,456,1,52834.93772494737
8,tpot_selection,456,13,161066693.22485527
9,tpot_selection,456,15,2647.2909304368422
10,tpot_selection,456,7,7566259.571428572
11,tpot_selection,456,0,68819.39843333334
12,tpot_selection,456,10,1471037.0931251252
13,tpot_selection,456,11,1687117.7142857143
14,tpot_selection,456,8,1669888.0714285714
15,tpot_selection,456,9,2034730.6666666667
0,tpot_selection,34,13,735083011.7142857
1,tpot_selection,34,14,107840241.33333333
2,tpot_selection,34,18,5682264.3535851855
3,tpot_selection,34,12,12011624.346153846
4,tpot_selection,34,2,110410330.78071429
5,tpot_selection,34,3,19943599.937589288
6,tpot_selection,34,6,4358440.827995799
7,tpot_selection,34,5,1952857.9062727273
8,tpot_selection,34,7,7771306.136708333
9,tpot_selection,34,10,1478063.2
10,tpot_selection,34,8,1600042.3157894737
11,tpot_selection,34,11,1823451.4117647058
12,tpot_selection,34,9,1431915.9285714286
0,tpot_selection,1334,2,148713120.2264151
1,tpot_selection,1334,3,23289896.91486207
2,tpot_selection,1334,18,3912870.281441718
3,tpot_selection,1334,6,3991493.0189356063
4,tpot_selection,1334,12,12449244.949785713
5,tpot_selection,1334,13,387758324.0
6,tpot_selection,1334,14,62113349.333333336
7,tpot_selection,1334,7,6780887.133333334
8,tpot_selection,1334,10,1406180.3181818181
9,tpot_selection,1334,5,2994613.3076923075
10,tpot_selection,1334,11,1663910.953125
11,tpot_selection,1334,9,2245405.9374545454
12,tpot_selection,1334,8,1784912.5069444445
0,tpot_selection,978,13,392190751.4285714
1,tpot_selection,978,14,46883277.346247874
2,tpot_selection,978,3,22692308.15008888
3,tpot_selection,978,12,14160129.731545454
4,tpot_selection,978,6,4653243.932086613
5,tpot_selection,978,2,136332172.3706411
6,tpot_selection,978,18,3788762.810807079
7,tpot_selection,978,10,1412243.3784187834
8,tpot_selection,978,7,6618652.5
9,tpot_selection,978,9,1969272.125
10,tpot_selection,978,11,1549365.857142857
11,tpot_selection,978,5,2469454.1898353975
12,tpot_selection,978,8,1855775.857142857
0,tpot_selection,1919,2,144097026.33036
1,tpot_selection,1919,18,5093992.46292005
2,tpot_selection,1919,12,9940671.5
3,tpot_selection,1919,3,18764150.57325015
4,tpot_selection,1919,6,4123237.188719902
5,tpot_selection,1919,7,7705396.0625
6,tpot_selection,1919,10,1225428.6097842862
7,tpot_selection,1919,13,79831598.82858722
8,tpot_selection,1919,14,5592979.671514345
9,tpot_selection,1919,11,1646867.65625
10,tpot_selection,1919,8,1875239.8625
11,tpot_selection,1919,5,768537.2779538296
12,tpot_selection,1919,9,2319033.4444444445
13,tpot_selection,1919,15,153.90469103333334
0,tpot_selection,98,2,133844618.10198244
1,tpot_selection,98,3,18859367.91606112
2,tpot_selection,98,12,14724158.71518182
3,tpot_selection,98,6,3301656.466593454
4,tpot_selection,98,18,3385650.978271995
5,tpot_selection,98,13,229453945.97343183
6,tpot_selection,98,14,5324368.13439513
7,tpot_selection,98,15,3598737.788379152
8,tpot_selection,98,11,1396932.142857143
9,tpot_selection,98,9,1748484.3529411764
10,tpot_selection,98,10,1465716.0001784184
11,tpot_selection,98,7,6714638.549107143
12,tpot_selection,98,5,909068.6555468981
13,tpot_selection,98,8,1827451.0595238095
0,tpot_selection,2647,2,148121423.37218916
1,tpot_selection,2647,18,3171763.045833704
2,tpot_selection,2647,12,13409577.375
3,tpot_selection,2647,3,17321308.81521671
4,tpot_selection,2647,6,2432816.3267023684
5,tpot_selection,2647,5,6030712.1240239125
6,tpot_selection,2647,14,2297059.4992249166
7,tpot_selection,2647,10,1175010.0507422662
8,tpot_selection,2647,7,7608641.086206896
9,tpot_selection,2647,11,1527583.8970588236
10,tpot_selection,2647,13,42462739.554987535
11,tpot_selection,2647,9,1869442.3
12,tpot_selection,2647,1,6561.672112249999
13,tpot_selection,2647,8,1824341.2777777778
14,tpot_selection,2647,15,376.68479167500004
15,tpot_selection,2647,0,6007.1357499999995
0,tpot_selection,12,2,142940470.85697693
1,tpot_selection,12,3,14168356.374507891
2,tpot_selection,12,12,16839192.210526317
3,tpot_selection,12,6,3560423.8742279555
4,tpot_selection,12,18,3798446.0750057185
5,tpot_selection,12,5,10024546.560441388
6,tpot_selection,12,14,3433354.0104583176
7,tpot_selection,12,13,86106973.80104935
8,tpot_selection,12,15,7325840.266475001
9,tpot_selection,12,10,1808920.672061435
10,tpot_selection,12,1,92519.10806428573
11,tpot_selection,12,7,6678768.0322580645
12,tpot_selection,12,9,2301621.3333333335
13,tpot_selection,12,11,1533074.4
14,tpot_selection,12,8,1962394.7368421052
0,tpot_selection,9,2,121617350.87687425
1,tpot_selection,9,3,19694221.783936206
2,tpot_selection,9,12,12954040.90876
3,tpot_selection,9,6,3223670.729259853
4,tpot_selection,9,13,336747698.2343265
5,tpot_selection,9,14,10777051.839998217
6,tpot_selection,9,18,3324024.2779777395
7,tpot_selection,9,15,2683449.1712510353
8,tpot_selection,9,7,7141719.444444444
9,tpot_selection,9,10,1619891.407776709
10,tpot_selection,9,9,2156452.4134615385
11,tpot_selection,9,11,1425670.4117647058
12,tpot_selection,9,5,932876.0009559838
13,tpot_selection,9,8,1924648.142857143
0,tpot_selection,455,2,125501631.59876785
1,tpot_selection,455,3,21838901.856035713
2,tpot_selection,455,12,12269351.461538462
3,tpot_selection,455,6,3969595.299437957
4,tpot_selection,455,18,4804342.497544572
5,tpot_selection,455,13,335369156.8218218
6,tpot_selection,455,14,42424492.34738238
7,tpot_selection,455,7,6728963.029
8,tpot_selection,455,11,1677510.59375
9,tpot_selection,455,5,2299000.6071428573
10,tpot_selection,455,10,868629.3457548486
11,tpot_selection,455,8,1549101.25
12,tpot_selection,455,9,1744875.6
0,tpot_selection,23,2,128874316.39831147
1,tpot_selection,23,3,20003498.07097015
2,tpot_selection,23,12,12084610.842592593
3,tpot_selection,23,6,3579401.59964706
4,tpot_selection,23,18,3504872.912617272
5,tpot_selection,23,13,328002348.8
6,tpot_selection,23,14,36741269.93166836
7,tpot_selection,23,7,6318950.910631579
8,tpot_selection,23,10,1751240.0652173914
9,tpot_selection,23,5,1986216.1759473686
10,tpot_selection,23,9,1518026.082
11,tpot_selection,23,11,1511915.9551428573
12,tpot_selection,23,8,1656766.9375
13,tpot_selection,23,15,194.027893
0,tpot_selection,44,2,157290110.54193547
1,tpot_selection,44,18,4590430.025622093
2,tpot_selection,44,12,14537810.409090908
3,tpot_selection,44,3,21543821.77844643
4,tpot_selection,44,6,4075216.5347596896
5,tpot_selection,44,7,8261926.81
6,tpot_selection,44,5,1926318.423076923
7,tpot_selection,44,13,100069249.3552731
8,tpot_selection,44,14,18953392.490722645
9,tpot_selection,44,10,1252474.2940715335
10,tpot_selection,44,9,1546985.9333333333
11,tpot_selection,44,11,1924710.8461538462
12,tpot_selection,44,8,1550366.59375
13,tpot_selection,44,15,207146.25
0,tpot_selection,665,2,146604754.537
1,tpot_selection,665,3,15730279.513940947
2,tpot_selection,665,12,14763354.090909092
3,tpot_selection,665,6,2748251.0339020905
4,tpot_selection,665,18,3545118.5108957742
5,tpot_selection,665,7,6681999.838709678
6,tpot_selection,665,8,1520038.92
7,tpot_selection,665,13,122300546.8355238
8,tpot_selection,665,15,3954374.0555109493
9,tpot_selection,665,14,2429923.9770147507
10,tpot_selection,665,5,4341114.270028611
11,tpot_selection,665,10,1388912.9005971923
12,tpot_selection,665,1,34493.987642
13,tpot_selection,665,11,1537621.8181818181
14,tpot_selection,665,9,2029171.3529411764
15,tpot_selection,665,0,29306.8223
0,tpot_base,123,2,51087612.917255
1,tpot_base,123,3,5870884.045850679
2,tpot_base,123,DayOfWeek_6,3972152.595011111
3,tpot_base,123,month,3719888.2711568787
4,tpot_base,123,12,1986287.6559934923
5,tpot_base,123,4,913360.8632809152
6,tpot_base,123,6,789891.4694413452
7,tpot_base,123,18,993734.3221088174
8,tpot_base,123,Open,223462652.5312727
9,tpot_base,123,5,489094.0603129639
10,tpot_base,123,14,468694.8824291666
11,tpot_base,123,11,491742.14146929164
12,tpot_base,123,Promo,8698846.725888886
13,tpot_base,123,9,624420.3418597829
14,tpot_base,123,10,594127.351695679
15,tpot_base,123,8,601577.5890158273
16,tpot_base,123,year,513827.61495815206
17,tpot_base,123,DayOfWeek_3,524336.3202966667
18,tpot_base,123,7,1737523.0251909082
19,tpot_base,123,SchoolHoliday,1143472.0
20,tpot_base,123,13,105999.43633823666
21,tpot_base,123,15,190.99765
22,tpot_base,123,DayOfWeek_5,703312.156
23,tpot_base,123,DayOfWeek_4,2892.27319
24,tpot_base,123,DayOfWeek_2,345676.375
