,algorithm,seed,mse,rmse,r2_score
0,featuretools_base_selection,98,169338.84375,411.5080117689083,0.9508995695836815
0,featuretools_base_selection,2647,167418.953125,409.1686120965292,0.9514562616643333
0,featuretools_base_selection,12,168802.078125,410.8553007142539,0.9510552138681023
0,featuretools_base_selection,9,167915.46875,409.77490009760237,0.9513122889013899
0,featuretools_base_selection,455,166399.5625,407.9210248320133,0.9517518340965833
0,featuretools_base_selection,23,167800.5,409.63459326575435,0.9513456278134083
0,featuretools_base_selection,44,166112.125,407.5685525160154,0.9518351826565656
0,featuretools_base_selection,665,164877.015625,406.05050871166264,0.9521933013250203
0,manual,123,176047.5625,419.58022176932985,0.9489543558067871
0,manual,234,168765.171875,410.81038433199325,0.9510659222035136
0,manual,456,167686.453125,409.49536398474646,0.9513786970468913
0,manual,34,153908.78125,392.312096741867,0.9553735808674689
0,manual,1334,169858.8125,412.13931200505493,0.9507488082375128
0,manual,978,163879.625,404.8204849065818,0.952482498257962
0,manual,1919,158895.859375,398.61743486079484,0.9539275600909516
0,manual,98,172838.84375,415.7389129610073,0.9498847395480735
0,manual,2647,180587.359375,424.955714604475,0.9476380306223757
0,manual,12,162922.390625,403.63645849328327,0.9527600535230074
0,manual,9,179390.609375,423.5452860970123,0.947985027471124
0,manual,455,188686.96875,434.38113305022813,0.9452895242018415
0,manual,23,171754.359375,414.4325751856386,0.9501992030387336
0,manual,44,183107.109375,427.91016507556816,0.9469074163915872
0,manual,665,194236.296875,440.72247148857747,0.9436804657546488
0,manual_selection,123,189865.65625,435.73576425397994,0.9449477488878026
0,manual_selection,234,190803.34375,436.810420834943,0.9446758624034356
0,manual_selection,456,188917.34375,434.6462282707628,0.9452227266347367
0,manual_selection,34,190662.359375,436.6490116500895,0.9447167461835765
0,manual_selection,1334,191140.796875,437.19651974255237,0.9445780290325962
0,manual_selection,978,190760.953125,436.76189523011277,0.9446881625261836
0,manual_selection,1919,193372.609375,439.7415256431896,0.9439308982950763
0,manual_selection,98,189557.171875,435.3816393407053,0.9450371992237475
0,manual_selection,2647,190971.3125,437.002645872997,0.9446271695693034
0,manual_selection,12,191107.875,437.1588670037473,0.9445875682269134
0,manual_selection,9,189506.5,435.32344297085587,0.9450518861532375
0,manual_selection,455,189141.703125,434.90424592661776,0.9451576699445235
0,manual_selection,23,189738.75,435.5901169677751,0.9449845521128399
0,manual_selection,44,190381.609375,436.3274107536679,0.9447981445772354
0,manual_selection,665,191213.84375,437.28005185464383,0.9445568454680622
0,manual_base,123,176047.5625,419.58022176932985,0.9489543558067871
0,manual_base,234,168765.171875,410.81038433199325,0.9510659222035136
0,manual_base,456,167686.453125,409.49536398474646,0.9513786970468913
0,manual_base,34,153908.78125,392.312096741867,0.9553735808674689
0,manual_base,1334,169858.8125,412.13931200505493,0.9507488082375128
0,manual_base,978,163879.625,404.8204849065818,0.952482498257962
0,manual_base,1919,158895.859375,398.61743486079484,0.9539275600909516
0,manual_base,98,172838.84375,415.7389129610073,0.9498847395480735
0,manual_base,2647,180587.359375,424.955714604475,0.9476380306223757
0,manual_base,12,162922.390625,403.63645849328327,0.9527600535230074
0,manual_base,9,179390.609375,423.5452860970123,0.947985027471124
0,manual_base,455,188686.96875,434.38113305022813,0.9452895242018415
0,manual_base,23,171754.359375,414.4325751856386,0.9501992030387336
0,manual_base,44,183107.109375,427.91016507556816,0.9469074163915872
0,manual_base,665,194236.296875,440.72247148857747,0.9436804657546488
0,manual_base_selection,123,189865.65625,435.73576425397994,0.9449477488878026
0,manual_base_selection,234,190803.34375,436.810420834943,0.9446758624034356
0,manual_base_selection,456,188917.34375,434.6462282707628,0.9452227266347367
0,manual_base_selection,34,190662.359375,436.6490116500895,0.9447167461835765
0,manual_base_selection,1334,191140.796875,437.19651974255237,0.9445780290325962
0,manual_base_selection,978,190760.953125,436.76189523011277,0.9446881625261836
0,manual_base_selection,1919,193372.609375,439.7415256431896,0.9439308982950763
0,manual_base_selection,98,189557.171875,435.3816393407053,0.9450371992237475
0,manual_base_selection,2647,190971.3125,437.002645872997,0.9446271695693034
0,manual_base_selection,12,191107.875,437.1588670037473,0.9445875682269134
0,manual_base_selection,9,189506.5,435.32344297085587,0.9450518861532375
0,manual_base_selection,455,189141.703125,434.90424592661776,0.9451576699445235
0,manual_base_selection,23,189738.75,435.5901169677751,0.9449845521128399
0,manual_base_selection,44,190381.609375,436.3274107536679,0.9447981445772354
0,manual_base_selection,665,191213.84375,437.28005185464383,0.9445568454680622
